pair_i,pair_j,a,b,c,d,e,f,g,jab_seed,jde_seed,entry_jab,entry_jde,twoJ,val
16,16,2,4,2,2,4,2,14,1,1,1,1,2,-0.75
16,16,2,4,2,2,4,2,14,1,1,1,1,4,-0.3
16,16,2,4,2,2,4,2,14,1,1,1,1,2,-0.75
16,16,2,4,2,2,4,2,14,1,1,1,1,4,-0.3
16,16,2,4,2,2,4,2,14,1,1,1,1,2,-0.75
16,16,2,4,2,2,4,2,14,1,1,1,1,4,-0.3
16,33,2,4,3,2,3,2,14,1,1,1,1,2,-0.75
16,33,2,4,3,2,3,2,14,1,1,1,1,4,-0.3
16,33,2,4,3,2,3,2,14,1,1,1,1,2,-0.75
16,33,2,4,3,2,3,2,14,1,1,1,1,4,-0.3
16,33,2,4,3,2,3,2,14,1,1,1,1,2,-0.75
16,33,2,4,3,2,3,2,14,1,1,1,1,4,-0.3
16,33,2,4,3,2,3,2,14,1,1,1,1,2,-0.75
16,33,2,4,3,2,3,2,14,1,1,1,1,4,-0.3
16,33,2,4,3,2,3,2,14,1,1,1,1,2,-0.75
16,33,2,4,3,2,3,2,14,1,1,1,1,4,-0.3
16,34,2,4,3,2,5,2,14,1,1,1,1,2,-0.75
16,34,2,4,3,2,5,2,14,1,1,1,1,4,-0.3
16,34,2,4,3,2,5,2,14,1,1,1,1,2,-0.75
16,34,2,4,3,2,5,2,14,1,1,1,1,4,-0.3
16,34,2,4,3,2,5,2,14,1,1,1,1,2,-0.75
16,34,2,4,3,2,5,2,14,1,1,1,1,4,-0.3
16,68,2,4,2,2,2,2,14,1,2,1,2,2,0.935414346693486
16,68,2,4,2,2,2,2,14,1,2,1,2,4,0.836660026534076
16,68,2,4,2,2,2,2,14,1,2,1,2,2,0.935414346693486
16,68,2,4,2,2,2,2,14,1,2,1,2,4,0.836660026534076
16,68,2,4,2,2,2,2,14,1,2,1,2,2,0.935414346693486
16,68,2,4,2,2,2,2,14,1,2,1,2,4,0.836660026534076
16,68,2,4,2,2,2,2,14,1,2,1,2,2,0.935414346693486
16,68,2,4,2,2,2,2,14,1,2,1,2,4,0.836660026534076
16,68,2,4,2,2,2,2,14,1,2,1,2,2,0.935414346693486
16,68,2,4,2,2,2,2,14,1,2,1,2,4,0.836660026534076
16,69,2,4,2,2,4,2,14,1,2,1,2,2,0.661437827766148
16,69,2,4,2,2,4,2,14,1,2,1,2,4,0.591607978309961
16,69,2,4,2,2,4,2,14,1,2,1,2,2,0.661437827766148
16,69,2,4,2,2,4,2,14,1,2,1,2,4,0.591607978309961
16,69,2,4,2,2,4,2,14,1,2,1,2,2,0.661437827766148
