entry_jab,entry_jde,twoJ,row_count,case_count,twoJ_parity,sample_case
2,2,4,630,138,0,100|101|2|5|3|3|4|3|18|2|2
2,2,2,420,92,0,100|101|2|5|3|3|4|3|18|2|2
2,2,6,420,92,0,100|101|2|5|3|3|4|3|18|2|2
1,1,2,365,105,0,16|16|2|4|2|2|4|2|14|1|1
1,2,2,355,95,0,16|108|2|4|5|2|3|2|14|1|2
2,1,4,335,95,0,100|43|2|5|3|3|4|3|18|2|1
1,2,4,213,57,0,16|68|2|4|2|2|2|2|14|1|2
2,1,2,211,67,0,100|43|2|5|3|3|4|3|18|2|1
1,1,4,183,51,0,16|16|2|4|2|2|4|2|14|1|1
2,3,4,75,15,0,66|129|2|2|3|2|3|2|12|2|3
2,3,6,75,15,0,66|129|2|2|3|2|3|2|12|2|3
3,2,6,55,15,0,126|78|2|3|2|2|3|2|13|3|2
3,2,4,33,9,0,126|78|2|3|2|2|3|2|13|3|2
1,3,4,30,10,0,16|130|2|4|3|2|3|2|14|1|3
3,3,4,21,3,0,126|126|2|3|2|2|3|2|13|3|3
3,3,6,21,3,0,126|126|2|3|2|2|3|2|13|3|3
3,1,4,10,6,0,127|21|2|3|2|2|3|2|15|3|1
