pair_i,pair_j,a,b,c,d,e,f,g,jab_seed,jde_seed,entry_jab,entry_jde,twoJ,val
0,0,2,2,2,2,2,2,16,0,0,0,0,3,-0.125
0,0,2,2,2,2,2,2,16,0,0,0,2,3,0.279508497187474
0,0,2,2,2,2,2,2,16,0,0,2,0,3,0.279508497187474
0,0,2,2,2,2,2,2,16,0,0,2,2,3,-0.625
0,6,2,2,3,2,3,2,16,0,0,0,0,3,-0.265165042944955
0,6,2,2,3,2,3,2,16,0,0,0,1,3,-0.153093108923949
0,6,2,2,3,2,3,2,16,0,0,0,2,3,0.197642353760524
0,6,2,2,3,2,3,2,16,0,0,0,3,3,-0.233853586673371
0,17,2,2,2,2,4,2,16,0,1,0,1,3,0.459279326771846
0,17,2,2,2,2,4,2,16,0,1,0,2,3,-0.265165042944955
0,17,2,2,2,2,4,2,16,0,1,2,1,3,-1.02697979532219
0,17,2,2,2,2,4,2,16,0,1,2,2,3,0.592927061281571
0,19,2,2,4,2,4,2,16,0,1,0,1,1,-0.649519052838329
0,19,2,2,4,2,4,2,16,0,1,0,2,1,-0.838525491562421
0,37,2,2,3,2,3,2,16,0,1,0,0,3,0.265165042944955
0,37,2,2,3,2,3,2,16,0,1,0,1,3,0.275567596063108
0,37,2,2,3,2,3,2,16,0,1,0,2,3,0.118585412256314
0,37,2,2,3,2,3,2,16,0,1,0,3,3,0.420936456012068
0,38,2,2,3,2,5,2,16,0,1,0,1,3,0.918558653543692
0,38,2,2,3,2,5,2,16,0,1,0,2,3,-0.530330085889911
0,39,2,2,3,2,4,3,16,0,1,0,1,3,0.306186217847897
0,39,2,2,3,2,4,3,16,0,1,0,2,3,-0.530330085889911
0,40,2,2,3,2,5,4,16,0,1,0,1,3,0.484122918275927
0,40,2,2,3,2,5,4,16,0,1,0,2,3,0.375
0,53,2,2,5,2,3,2,16,0,1,0,1,1,-1.29903810567666
0,53,2,2,5,2,3,2,16,0,1,0,2,1,0.75
0,54,2,2,5,2,5,2,16,0,1,0,1,1,-0.649519052838329
0,54,2,2,5,2,5,2,16,0,1,0,2,1,-0.838525491562421
0,55,2,2,5,2,4,3,16,0,1,0,1,1,0.21650635094611
0,55,2,2,5,2,4,3,16,0,1,0,2,1,-0.838525491562421
0,56,2,2,5,2,5,4,16,0,1,0,1,1,0.866025403784439
0,70,2,2,2,2,2,2,16,0,2,0,0,3,0.625
0,70,2,2,2,2,2,2,16,0,2,0,2,3,-1.39754248593737
0,70,2,2,2,2,2,2,16,0,2,2,0,3,-1.39754248593737
0,70,2,2,2,2,2,2,16,0,2,2,2,3,3.125
0,71,2,2,2,2,4,2,16,0,2,0,1,3,0.342326598440729
0,71,2,2,2,2,4,2,16,0,2,0,2,3,-0.197642353760524
0,71,2,2,2,2,4,2,16,0,2,2,1,3,-0.765465544619743
0,71,2,2,2,2,4,2,16,0,2,2,2,3,0.441941738241592
0,76,2,2,4,2,2,2,16,0,2,-1,-1,3,0.0
0,77,2,2,4,2,4,2,16,0,2,0,1,1,1.08253175473055
0,77,2,2,4,2,4,2,16,0,2,0,2,1,1.39754248593737
0,96,2,2,3,2,3,2,16,0,2,0,0,3,0.441941738241592
0,96,2,2,3,2,3,2,16,0,2,0,1,3,-0.153093108923949
0,96,2,2,3,2,3,2,16,0,2,0,2,3,-1.38349647632367
0,96,2,2,3,2,3,2,16,0,2,0,3,3,-0.233853586673371
0,97,2,2,3,2,5,2,16,0,2,0,1,3,0.684653196881458
0,97,2,2,3,2,5,2,16,0,2,0,2,3,-0.395284707521047
0,98,2,2,3,2,4,3,16,0,2,0,1,3,0.684653196881458
0,98,2,2,3,2,4,3,16,0,2,0,2,3,0.395284707521047
0,111,2,2,5,2,3,2,16,0,2,0,1,1,-0.968245836551854
0,111,2,2,5,2,3,2,16,0,2,0,2,1,0.559016994374947
0,112,2,2,5,2,5,2,16,0,2,0,1,1,1.08253175473055
0,112,2,2,5,2,5,2,16,0,2,0,2,1,1.39754248593737
0,113,2,2,5,2,4,3,16,0,2,0,1,1,1.08253175473055
0,113,2,2,5,2,4,3,16,0,2,0,2,1,0.279508497187474
0,131,2,2,3,2,3,2,16,0,3,0,0,3,0.618718433538229
0,131,2,2,3,2,3,2,16,0,3,0,1,3,0.642991057480584
0,131,2,2,3,2,3,2,16,0,3,0,2,3,0.276699295264733
0,131,2,2,3,2,3,2,16,0,3,0,3,3,0.98218506402816
1,0,4,4,2,2,2,2,16,0,0,0,0,3,-0.25
1,0,4,4,2,2,2,2,16,0,0,0,2,3,0.559016994374947
1,6,4,4,3,2,3,2,16,0,0,0,0,3,-0.265165042944955
1,6,4,4,3,2,3,2,16,0,0,0,1,3,-0.153093108923949
1,6,4,4,3,2,3,2,16,0,0,0,2,3,0.197642353760524
1,6,4,4,3,2,3,2,16,0,0,0,3,3,-0.233853586673371
1,17,4,4,2,2,4,2,16,0,1,0,1,3,0.918558653543692
1,17,4,4,2,2,4,2,16,0,1,0,2,3,-0.530330085889911
1,19,4,4,4,2,4,2,16,0,1,-1,-1,3,0.0
1,37,4,4,3,2,3,2,16,0,1,0,0,3,0.265165042944955
1,37,4,4,3,2,3,2,16,0,1,0,1,3,0.275567596063108
1,37,4,4,3,2,3,2,16,0,1,0,2,3,0.118585412256314
1,37,4,4,3,2,3,2,16,0,1,0,3,3,0.420936456012068
1,38,4,4,3,2,5,2,16,0,1,0,1,3,0.918558653543692
1,38,4,4,3,2,5,2,16,0,1,0,2,3,-0.530330085889911
1,39,4,4,3,2,4,3,16,0,1,0,1,3,0.306186217847897
1,39,4,4,3,2,4,3,16,0,1,0,2,3,-0.530330085889911
1,40,4,4,3,2,5,4,16,0,1,0,1,3,0.484122918275927
1,40,4,4,3,2,5,4,16,0,1,0,2,3,0.375
1,53,4,4,5,2,3,2,16,0,1,0,1,1,-1.29903810567666
1,53,4,4,5,2,3,2,16,0,1,0,2,1,0.75
1,54,4,4,5,2,5,2,16,0,1,0,1,1,-0.649519052838329
1,54,4,4,5,2,5,2,16,0,1,0,2,1,-0.838525491562421
1,55,4,4,5,2,4,3,16,0,1,0,1,1,0.21650635094611
1,55,4,4,5,2,4,3,16,0,1,0,2,1,-0.838525491562421
1,56,4,4,5,2,5,4,16,0,1,0,1,1,0.866025403784439
1,70,4,4,2,2,2,2,16,0,2,0,0,3,1.25
1,70,4,4,2,2,2,2,16,0,2,0,2,3,-2.79508497187474
1,71,4,4,2,2,4,2,16,0,2,0,1,3,0.684653196881458
1,71,4,4,2,2,4,2,16,0,2,0,2,3,-0.395284707521047
1,76,4,4,4,2,2,2,16,0,2,-1,-1,3,0.0
1,77,4,4,4,2,4,2,16,0,2,-1,-1,3,0.0
1,96,4,4,3,2,3,2,16,0,2,0,0,3,0.441941738241592
1,96,4,4,3,2,3,2,16,0,2,0,1,3,-0.153093108923949
1,96,4,4,3,2,3,2,16,0,2,0,2,3,-1.38349647632367
1,96,4,4,3,2,3,2,16,0,2,0,3,3,-0.233853586673371
1,97,4,4,3,2,5,2,16,0,2,0,1,3,0.684653196881458
1,97,4,4,3,2,5,2,16,0,2,0,2,3,-0.395284707521047
1,98,4,4,3,2,4,3,16,0,2,0,1,3,0.684653196881458
1,98,4,4,3,2,4,3,16,0,2,0,2,3,0.395284707521047
1,111,4,4,5,2,3,2,16,0,2,0,1,1,-0.968245836551854
1,111,4,4,5,2,3,2,16,0,2,0,2,1,0.559016994374947
1,112,4,4,5,2,5,2,16,0,2,0,1,1,1.08253175473055
1,112,4,4,5,2,5,2,16,0,2,0,2,1,1.39754248593737
1,113,4,4,5,2,4,3,16,0,2,0,1,1,1.08253175473055
1,113,4,4,5,2,4,3,16,0,2,0,2,1,0.279508497187474
1,131,4,4,3,2,3,2,16,0,3,0,0,3,0.618718433538229
1,131,4,4,3,2,3,2,16,0,3,0,1,3,0.642991057480584
1,131,4,4,3,2,3,2,16,0,3,0,2,3,0.276699295264733
1,131,4,4,3,2,3,2,16,0,3,0,3,3,0.98218506402816
2,3,2,2,4,4,4,4,18,0,0,-1,-1,1,0.0
2,11,2,2,5,4,5,4,18,0,0,0,0,1,-0.353553390593274
2,11,2,2,5,4,5,4,18,0,0,0,1,1,-0.612372435695795
2,18,2,2,2,4,4,2,18,0,1,0,0,3,0.53033008588991
2,18,2,2,2,4,4,2,18,0,1,2,0,3,-1.18585412256314
2,20,2,2,4,4,4,2,18,0,1,-1,-1,1,0.0
2,41,2,2,3,4,3,2,18,0,1,0,1,3,-0.433012701892219
2,41,2,2,3,4,3,2,18,0,1,0,2,3,0.75
2,42,2,2,3,4,5,2,18,0,1,0,0,3,0.53033008588991
2,42,2,2,3,4,5,2,18,0,1,0,1,3,-0.684653196881457
2,43,2,2,3,4,4,3,18,0,1,0,0,3,1.06066017177982
2,44,2,2,3,4,5,4,18,0,1,-1,-1,1,0.0
2,57,2,2,5,4,3,2,18,0,1,0,1,1,0.968245836551854
2,57,2,2,5,4,3,2,18,0,1,0,2,1,0.75
2,58,2,2,5,4,5,2,18,0,1,0,1,1,-1.22474487139159
2,59,2,2,5,4,4,3,18,0,1,-1,-1,1,0.0
2,60,2,2,5,4,5,4,18,0,1,0,0,1,1.06066017177982
2,60,2,2,5,4,5,4,18,0,1,0,1,1,1.83711730708738
2,72,2,2,2,4,2,2,18,0,2,0,1,3,-0.684653196881458
2,72,2,2,2,4,2,2,18,0,2,0,2,3,-0.395284707521047
2,72,2,2,2,4,2,2,18,0,2,2,1,3,1.53093108923949
2,72,2,2,2,4,2,2,18,0,2,2,2,3,0.883883476483184
2,99,2,2,3,4,3,2,18,0,2,0,1,3,-0.968245836551854
2,99,2,2,3,4,3,2,18,0,2,0,2,3,-0.559016994374947
3,3,4,4,4,4,4,4,18,0,0,-1,-1,1,0.0
3,11,4,4,5,4,5,4,18,0,0,0,0,1,-0.353553390593274
3,11,4,4,5,4,5,4,18,0,0,0,1,1,-0.612372435695795
