pair_i,pair_j,a,b,c,d,e,f,g,jab_seed,jde_seed,val
0,0,2,2,2,2,2,2,16,0,0,0
0,6,2,2,3,2,3,2,16,0,0,0
0,17,2,2,2,2,4,2,16,0,1,0
0,19,2,2,4,2,4,2,16,0,1,0
0,37,2,2,3,2,3,2,16,0,1,0
0,38,2,2,3,2,5,2,16,0,1,0
0,39,2,2,3,2,4,3,16,0,1,0
0,40,2,2,3,2,5,4,16,0,1,0
0,53,2,2,5,2,3,2,16,0,1,0
0,54,2,2,5,2,5,2,16,0,1,0
0,55,2,2,5,2,4,3,16,0,1,0
0,56,2,2,5,2,5,4,16,0,1,0
0,70,2,2,2,2,2,2,16,0,2,0
0,71,2,2,2,2,4,2,16,0,2,0
0,76,2,2,4,2,2,2,16,0,2,0
0,77,2,2,4,2,4,2,16,0,2,0
0,96,2,2,3,2,3,2,16,0,2,0
0,97,2,2,3,2,5,2,16,0,2,0
0,98,2,2,3,2,4,3,16,0,2,0
0,111,2,2,5,2,3,2,16,0,2,0
0,112,2,2,5,2,5,2,16,0,2,0
0,113,2,2,5,2,4,3,16,0,2,0
0,131,2,2,3,2,3,2,16,0,3,0
1,0,4,4,2,2,2,2,16,0,0,0
1,6,4,4,3,2,3,2,16,0,0,0
1,17,4,4,2,2,4,2,16,0,1,0
1,19,4,4,4,2,4,2,16,0,1,0
1,37,4,4,3,2,3,2,16,0,1,0
1,38,4,4,3,2,5,2,16,0,1,0
1,39,4,4,3,2,4,3,16,0,1,0
1,40,4,4,3,2,5,4,16,0,1,0
1,53,4,4,5,2,3,2,16,0,1,0
1,54,4,4,5,2,5,2,16,0,1,0
1,55,4,4,5,2,4,3,16,0,1,0
1,56,4,4,5,2,5,4,16,0,1,0
1,70,4,4,2,2,2,2,16,0,2,0
1,71,4,4,2,2,4,2,16,0,2,0
1,76,4,4,4,2,2,2,16,0,2,0
1,77,4,4,4,2,4,2,16,0,2,0
1,96,4,4,3,2,3,2,16,0,2,0
1,97,4,4,3,2,5,2,16,0,2,0
1,98,4,4,3,2,4,3,16,0,2,0
1,111,4,4,5,2,3,2,16,0,2,0
1,112,4,4,5,2,5,2,16,0,2,0
1,113,4,4,5,2,4,3,16,0,2,0
